Area of The Plot (In Squarefeet),Area of The Plot (In Squarefeet),Age Of The House,Number of Bedrooms,Area Population,Price (In Rupees)
216.3979746,"58,914.486",7,2,35283,1072704.89
278.6661053,"75,867.024",6,4,56294,1914746.582
244.5598504,"66,581.575",5,3,18231,839194.0689
230.7439203,"62,820.179",8,6,23734,1285157.87
256.0578184,"69,711.904",6,3,36291,1433614.967
303.8031095,"82,710.590",6,4,44769,1459342.887
216.0804561,"58,828.042",7,6,44277,1652845.981
195.2679823,"53,161.832",5,4,30535,725830.602
291.4998754,"79,361.027",5,3,53875,1378863.688
214.2352963,"58,325.696",6,6,31256,1003941.929
204.8586535,"55,772.899",6,2,41639,729882.6249
264.0707488,"71,893.429",6,3,40364,1270047.528
278.8712881,"75,922.886",7,2,49459,1695706.132
200.7278545,"54,648.286",6,4,20271,714822.5872
263.9390395,"71,857.571",6,4,52564,1462899.031
247.6548418,"67,424.188",5,6,32413,1127260.126
259.1908088,"70,564.863",5,5,38376,1014226.299
272.6798451,"74,237.261",5,4,37651,852982.5644
213.0546754,"58,004.271",5,6,29183,830286.7066
374.3934617,"1,01,928.858",5,4,22805,1938866.49
204.9930732,"55,809.495",7,4,49002,1247645.41
177.6196528,"48,357.063",5,3,45207,813415.1281
238.8157712,"65,017.746",5,2,26910,679373.4015
245.909439,"66,949.001",5,3,30324,814879.2063
304.3098808,"82,848.559",6,4,40338,1489540.135
241.8773518,"65,851.263",7,5,36110,1468738.755
343.7241434,"93,579.117",6,4,38978,1859883.661
279.5738531,"76,114.159",7,5,42602,1558758.796
309.603666,"84,289.795",8,4,42768,2120888.345
211.9941416,"57,715.540",6,5,19844,790598.827
315.2457617,"85,825.859",7,3,13983,1137465.336
230.5423229,"62,765.294",8,4,22272,1369753.282
257.8716529,"70,205.722",6,5,26973,1433221.122
244.6115983,"66,595.663",5,3,42385,1373048.099
236.1928002,"64,303.640",6,3,20215,941950.5795
210.6831563,"57,358.623",7,3,22062,948279.9394
272.6022246,"74,216.129",6,3,45069,1365036.084
251.6191937,"68,503.486",4,4,34699,1289082.363
203.7875376,"55,481.287",6,3,42180,1398979.249
276.4584845,"75,265.998",8,5,13108,1559678.613
252.9069971,"68,854.091",7,5,37483,1485677.064
274.9455472,"74,854.100",5,4,50538,1553592.98
200.6765473,"54,634.318",6,6,41564,1179278.094
209.7266079,"57,098.202",8,2,42721,1262465.989
249.9004707,"68,035.562",6,4,34175,1663509.393
231.8768008,"63,128.607",5,3,39537,930011.5709
231.1731898,"62,937.048",6,3,38082,1584167.851
304.5572735,"82,915.911",7,5,50446,2185480.091
257.6248659,"70,138.534",6,4,44685,1529028.714
277.7274385,"75,611.472",6,6,22047,998240.8508
157.2900314,"42,822.311",7,3,29670,513215.9882
220.9186054,"60,145.231",7,5,25199,1136448.409
322.6947402,"87,853.848",7,6,42302,1898668.844
243.865623,"66,392.571",5,5,26623,1255576.273
213.789117,"58,204.223",6,5,46663,1367641.27
324.1300595,"88,244.615",7,3,25792,1788285.239
252.4791115,"68,737.599",5,6,34217,1230363.234
207.2466573,"56,423.034",5,3,40156,1000216.858
244.9142567,"66,678.062",4,5,23031,587007.8442
262.6881438,"71,517.014",8,5,40239,1734373.044
242.7822501,"66,097.622",4,4,37468,762167.2533
280.7094178,"76,423.318",8,5,24402,1532845.723
266.8870078,"72,660.158",5,4,48712,1243501.651
340.8156683,"92,787.282",5,2,36590,1628878.094
288.4681624,"78,535.641",7,3,44280,1767330.934
213.4451369,"58,110.574",6,2,49356,1308752.504
263.0465591,"71,614.593",6,4,29922,1311681.42
282.1436205,"76,813.780",7,3,31822,1567368.285
270.0025248,"73,508.359",6,3,34895,1126821.109
234.3638256,"63,805.701",7,4,48434,1473761.532
248.4898995,"67,651.533",6,4,50823,1366000.57
253.7610445,"69,086.606",6,6,39890,1677612.442
344.6174078,"93,822.308",7,3,28556,1789973.205
329.8748164,"89,808.629",7,3,30847,1961715.867
238.3708787,"64,896.623",6,2,33201,673225.1119
227.1945615,"61,853.864",7,4,23811,1230391.468
235.8336572,"64,205.863",6,2,48650,1124818.114
275.0126217,"74,872.361",7,3,20068,1090996.143
301.1217539,"81,980.589",6,3,41394,1570154.414
193.9462105,"52,801.979",6,3,21518,685123.1393
200.2206528,"54,510.200",5,4,20211,845553.3695
227.2487159,"61,868.607",6,3,34967,974805.9937
233.8109565,"63,655.182",8,3,16409,1247660.99
316.001145,"86,031.513",5,5,35418,1381417.25
267.2115445,"72,748.513",7,6,40138,1726364.398
227.1427856,"61,839.768",8,3,26065,961539.0599
281.0633729,"76,519.682",6,2,28961,1359978.16
282.0006553,"76,774.858",6,2,34314,1384466.437
281.5778526,"76,659.749",6,6,41718,1531447.285
262.1534137,"71,371.434",6,3,52266,1418595.727
306.558958,"83,460.871",6,2,31385,1476386.996
274.5291396,"74,740.733",6,4,29955,1168355.32
257.9572149,"70,229.016",7,6,28829,1222701.012
267.9547956,"72,950.864",5,4,38711,987447.7775
214.9341024,"58,515.946",6,4,33776,982790.871
191.7624314,"52,207.444",5,5,21096,527749.4039
267.4787053,"72,821.248",6,5,40594,1391232.527
243.3431107,"66,250.317",5,3,24202,1094321.883
272.8203141,"74,275.504",6,6,38536,1610217.177
298.1349916,"81,167.441",8,5,28714,1768705.125
206.1311346,"56,119.333",8,4,36041,1236258.08
312.2066494,"84,998.459",6,4,28623,1329007.203
255.6630491,"69,604.428",7,6,40684,1704126.876
259.964259,"70,775.435",6,3,40561,1321888.268
243.2936117,"66,236.841",7,3,38907,1113936.638
211.025653,"57,451.868",5,5,38533,1043628.37
243.5031387,"66,293.884",7,6,48878,1663653.71
253.8138801,"69,100.990",4,2,46139,969678.5673
278.1619416,"75,729.766",6,4,29996,1183014.509
215.2414277,"58,599.616",6,3,26570,957814.6031
218.5415624,"59,498.079",6,3,25401,912891.6806
265.9669322,"72,409.666",6,6,40606,1479758.318
254.6065562,"69,316.797",6,4,24448,1431507.623
252.1827231,"68,656.907",7,6,43834,1747911.496
261.6715709,"71,240.252",6,5,42567,1563083.336
268.9578373,"73,223.942",5,6,41113,1425745.297
223.9419301,"60,968.333",6,4,28484,804453.8698
242.1871756,"65,935.613",5,4,36262,1060440.596
230.5725411,"62,773.521",4,4,41389,954737.1411
254.5616493,"69,304.571",5,3,29466,1152604.142
268.9396743,"73,218.997",4,4,31620,955943.809
234.2971067,"63,787.536",5,3,22450,433247.1566
281.4064319,"76,613.080",7,6,43251,1718876.795
236.772237,"64,461.392",8,2,34211,1236874.809
152.5543284,"41,533.013",7,4,31685,682200.3006
292.2881749,"79,575.642",5,4,31050,1141916.525
301.8742989,"82,185.470",5,4,29259,1162735.272
256.5776344,"69,853.424",7,6,41914,1681340.635
189.2359896,"51,519.619",7,4,43259,945981.5296
178.5738908,"48,616.855",7,4,29770,854045.0138
232.5966342,"63,324.582",8,4,43282,1372994.29
238.8101814,"65,016.224",3,6,15903,414571.2229
282.2982047,"76,855.866",5,2,45388,1240319.692
276.5910253,"75,302.083",7,4,42383,1640646.67
255.054317,"69,438.700",6,4,57775,1537335.897
278.288423,"75,764.200",5,2,36712,1337966.927
252.7631398,"68,814.926",5,3,42286,1085113.451
223.7361759,"60,912.316",6,4,20916,905328.7691
150.6239223,"41,007.459",5,3,39527,494742.5436
227.5472516,"61,949.884",6,2,42093,1237360.718
247.6455813,"67,421.667",5,6,20167,864899.485
251.343377,"68,428.394",5,3,31074,1002192.582
227.1423449,"61,839.648",6,4,17245,800110.1189
230.7993026,"62,835.257",7,5,50098,1410331.825
266.244364,"72,485.197",4,2,43134,1036382.766
223.8588775,"60,945.722",5,3,34163,437146.0204
307.5467259,"83,729.792",4,3,12906,624432.966
211.5910543,"57,605.799",7,2,49411,1179440.832
276.7981874,"75,358.483",9,3,21320,1740404.967
198.080025,"53,927.413",5,3,37876,706135.1446
223.2368967,"60,776.387",7,4,28319,870252.411
255.8249815,"69,648.514",5,3,36039,1106149.686
217.7981325,"59,295.680",5,4,46785,1192677.55
358.3033333,"97,548.310",5,3,39089,2026303.098
226.5878377,"61,688.683",7,6,35553,1311473.323
266.1868593,"72,469.542",6,3,27228,1123386.531
279.3322117,"76,048.372",7,6,22470,1205750.232
290.8586424,"79,186.450",6,6,17840,1582140.06
180.7894317,"49,220.038",5,2,46982,573434.6642
293.99444,"80,040.173",6,6,29699,1735826.005
190.9842475,"51,995.583",7,2,47074,1052185.176
193.6124701,"52,711.118",8,4,25594,1151281.847
209.1251709,"56,934.461",8,3,37076,1531216.894
245.217799,"66,760.702",6,3,42293,1103352.601
192.3837985,"52,376.612",5,2,34189,308199.8912
257.9399685,"70,224.321",7,4,40274,1423296.118
229.9826006,"62,612.909",7,3,40790,1315684.457
294.8936927,"80,284.995",5,2,23457,637951.9056
245.4051245,"66,811.701",6,2,33499,1027191.029
187.8504556,"51,142.406",5,6,41873,729678.6262
332.5434479,"90,535.165",6,2,42249,1676770.331
342.2795069,"93,185.813",6,2,23723,1569121.917
259.845841,"70,743.196",5,3,26898,874969.6969
205.782982,"56,024.548",7,4,36216,1172413.197
279.9799789,"76,224.727",6,2,50003,1538985.189
329.3693675,"89,671.020",4,5,15626,1286572.979
329.9373583,"89,825.656",7,3,18598,1646033.41
224.1086403,"61,013.720",7,3,34772,1147313.02
232.7349033,"63,362.225",6,4,34972,976483.5805
209.6831633,"57,086.375",6,4,39003,1073350.044
253.6080103,"69,044.942",4,4,34764,1084255.678
299.1309133,"81,438.581",5,2,43340,1432252.081
287.6013206,"78,299.642",7,3,39298,1676070.943
320.9777063,"87,386.385",6,4,31736,1580557.01
305.4163077,"83,149.784",6,3,45986,1549873.88
345.5840336,"94,085.473",6,5,31011,1989672.524
222.9936464,"60,710.162",5,6,44101,1286980.807
261.9250085,"71,309.250",8,4,32357,1752967.605
342.7124549,"93,303.684",5,3,38163,1529711.14
314.5303375,"85,631.084",6,4,42812,1710612.03
188.6495779,"51,359.968",6,2,40797,774009.5476
278.6725255,"75,868.772",6,3,39296,1536143.592
303.8856258,"82,733.055",6,6,39061,1662939.097
246.2554222,"67,043.195",6,4,53739,1443027.263
246.2336546,"67,037.269",6,3,41042,1282258.093
208.2511597,"56,696.511",7,3,26083,1245967.799
241.8253925,"65,837.117",6,4,18250,1025908.914
291.9290498,"79,477.870",6,3,30411,1380070.45
202.1972577,"55,048.332",4,2,25093,288708.9121
296.1001734,"80,613.461",5,5,35692,1247581.212
282.2700064,"76,848.189",7,6,43978,1767399.29
307.0218779,"83,586.902",7,5,34278,1588549.501
317.1468728,"86,343.438",6,3,35780,1685217.105
241.858649,"65,846.171",6,3,28214,928950.0032
255.5628101,"69,577.138",6,5,48122,1565931.192
226.1924855,"61,581.048",5,2,43071,926882.9195
290.5305755,"79,097.134",6,5,43951,1770616.93
253.3999239,"68,988.290",6,4,28735,1279353.925
172.3645969,"46,926.371",5,3,53820,530764.6725
311.1412824,"84,708.412",8,4,28219,1874895.602
292.448735,"79,619.354",6,6,34605,1422890.021
226.9800997,"61,795.477",7,4,40719,1245788.303
200.6276926,"54,621.017",6,5,44500,1248130.521
257.6812192,"70,153.876",7,4,31863,1535564.552
291.2493015,"79,292.808",7,4,27773,1709441.806
247.3753755,"67,348.103",5,4,52158,1433260.228
269.4417686,"73,355.693",7,6,28008,1282758.903
253.2887426,"68,958.021",6,3,46682,1682708.617
161.9400227,"44,088.274",8,2,31033,624482.7636
296.2358698,"80,650.404",5,6,54516,1651684.774
212.8381546,"57,945.323",5,3,23040,768034.5331
233.7030798,"63,625.812",5,2,35778,1001876.606
222.8977144,"60,684.045",7,6,42643,1500821.469
331.1679718,"90,160.691",3,2,34010,1273988.483
227.7903825,"62,016.077",5,2,48897,1031046.365
291.1330171,"79,261.149",5,6,36129,1508198.672
180.7372181,"49,205.823",6,4,30396,773996.4762
312.1164,"84,973.888",7,6,38072,1723706.759
295.9544672,"80,573.792",4,3,34412,1260826.638
261.0171296,"71,062.080",7,4,30771,1367142.717
315.2536724,"85,828.013",5,5,29248,1303091.91
249.2879347,"67,868.799",7,4,32732,1341870.354
267.323221,"72,778.917",6,4,24559,1188416.806
269.2552119,"73,304.903",5,6,24284,1155077.131
249.8637712,"68,025.571",5,4,35479,1048969.493
297.6109926,"81,024.782",6,2,25838,1319478.287
254.5051195,"69,289.181",5,4,40696,1022408.901
267.0154097,"72,695.115",5,4,48115,1394970.599
248.1864968,"67,568.932",5,4,36475,1183343.566
281.0041218,"76,503.551",6,4,42154,1259919.983
243.4291471,"66,273.740",5,2,12951,579585.698
212.0708668,"57,736.428",7,4,45688,1591188.348
269.9906498,"73,505.126",7,6,31537,1437153.959
222.3607956,"60,537.868",5,3,31248,851018.9558
244.4245411,"66,544.737",6,2,34142,1321037.414
223.1569942,"60,754.634",6,3,29425,1112286.046
316.4767236,"86,160.989",4,3,47757,1509968.985
163.7357152,"44,577.153",8,5,27836,959625.5302
227.5531503,"61,951.490",5,6,38737,1032180.378
290.2756775,"79,027.738",6,3,21388,1232014.527
254.1284146,"69,186.623",7,4,49506,1575100.913
309.5244356,"84,268.224",4,4,31182,1257433.086
344.2396759,"93,719.471",7,5,39900,2173808.628
239.5526019,"65,218.348",6,5,34864,1115549.268
287.1233868,"78,169.525",6,3,44504,1397956.196
234.738539,"63,907.717",5,4,28299,1003905.06
274.9948638,"74,867.527",6,4,57841,1614373.964
271.6282955,"73,950.976",6,2,30519,1463367.821
272.3918614,"74,158.858",4,3,32581,966620.5141
232.4354826,"63,280.708",7,3,43032,1453663.252
278.6742253,"75,869.235",6,5,32436,1321388.619
224.689586,"61,171.883",4,6,41920,910512.6354
242.8659871,"66,120.419",6,5,28439,1029354.495
292.2561288,"79,566.917",5,5,49312,1608889.263
308.6145134,"84,020.498",5,4,25976,1458009.211
308.3054026,"83,936.342",8,3,55472,2198564.573
220.4113704,"60,007.136",7,4,47734,1281777.581
220.8472572,"60,125.806",7,3,25424,1196643.385
259.2480183,"70,580.438",6,3,36627,1578493.708
194.781375,"53,029.353",4,2,34472,430088.2507
203.0816491,"55,289.108",6,5,30773,677988.2555
263.6416892,"71,776.618",5,5,29802,1085534.179
279.153425,"75,999.698",6,4,35184,1634781.274
206.6697625,"56,265.974",6,3,40493,1167449.99
226.2286506,"61,590.894",7,4,34460,1067727.095
261.4226732,"71,172.489",6,4,23264,887739.4321
212.7635145,"57,925.002",3,6,40178,842924.5538
275.5768191,"75,025.964",3,4,33970,864067.0615
194.9690337,"53,080.443",5,2,23763,508951.5669
237.389575,"64,629.463",6,3,46877,1223777.498
229.7856847,"62,559.299",4,5,44522,1029037.429
333.1166064,"90,691.208",5,6,20847,1487997.879
285.4009648,"77,700.594",7,6,38827,1836419.641
242.9422849,"66,141.192",5,4,37356,1148066.813
293.8103449,"79,990.053",6,4,37817,1318681.04
280.2342188,"76,293.944",5,4,40712,1174481.066
280.0940731,"76,255.790",6,3,41297,1522954.939
280.4958756,"76,365.181",5,3,19992,1132146.32
269.746246,"73,438.587",6,3,33286,1212461.526
170.704163,"46,474.317",7,5,28182,864132.0331
251.8342124,"68,562.025",6,3,35476,1336377.825
234.2898154,"63,785.551",7,5,67354,1747244.863
261.967681,"71,320.868",4,4,47872,1398353.591
342.0698013,"93,128.721",6,4,42101,2020158.363
263.8519954,"71,833.874",6,3,31326,877779.3441
190.3222888,"51,815.364",6,3,43605,1255202.11
254.3460936,"69,245.886",6,2,37598,1173413.55
234.2161514,"63,765.496",7,5,34303,1326680.244
300.6217249,"81,844.456",5,6,51937,1585521.989
230.6633104,"62,798.233",6,3,34652,1106336.838
206.725707,"56,281.205",5,6,29142,962501.9015
246.3170246,"67,059.967",7,5,51237,1408074.53
214.4539172,"58,385.215",8,2,41930,1266209.753
258.0676005,"70,259.068",7,6,54051,1741052.96
322.9724449,"87,929.454",6,3,44486,1636559.241
347.9660236,"94,733.971",8,5,46315,2318285.703
269.9897765,"73,504.888",5,6,47118,1409892.09
288.863133,"78,643.172",7,3,13889,1166198.116
287.671741,"78,318.814",6,2,41569,1393995.962
233.7548898,"63,639.917",6,5,41449,1462608.696
300.1955835,"81,728.439",6,6,51629,1922281.305
328.9312118,"89,551.732",6,2,43965,1587406.303
181.7931329,"49,493.296",6,3,39909,967868.5146
225.7533635,"61,461.497",5,4,49688,1426545.967
267.0061378,"72,692.591",6,3,33125,1725429.749
292.7537187,"79,702.386",7,6,46270,1753820.622
202.0010644,"54,994.918",5,2,15444,321058.9607
210.5706323,"57,327.989",7,3,28946,1089601.882
273.960204,"74,585.840",4,3,48052,1137523.111
284.0554851,"77,334.287",5,4,37906,1371670.389
283.3153914,"77,132.796",7,2,47451,1595620.557
355.4743616,"96,778.121",5,6,37481,1899948.059
191.1714304,"52,046.544",6,3,41716,674657.9107
287.7884796,"78,350.597",7,6,23053,1555490.621
226.2695838,"61,602.038",5,3,45188,1194191.879
310.2011304,"84,452.455",5,4,38221,1482107.37
311.1578038,"84,712.910",6,4,11072,1154917.394
225.8687894,"61,492.922",6,3,37743,1050838.704
139.4715109,"37,971.208",4,3,33268,31140.51762
268.7183424,"73,158.740",8,3,25175,1748864.715
274.0936272,"74,622.164",7,3,30737,1287030.932
216.55142,"58,956.262",7,6,38530,1237246.145
254.3755465,"69,253.904",6,3,22525,1259733.644
174.6539169,"47,549.640",6,5,43526,1028914.315
269.1339432,"73,271.887",6,3,39446,1388218.529
225.8163096,"61,478.634",4,4,36838,637189.9594
228.8964873,"62,317.214",8,3,47836,1717570.53
240.4556306,"65,464.198",5,4,26066,729688.5926
322.8039631,"87,883.584",8,3,41013,2049146.63
249.1059545,"67,819.255",7,3,37516,1340705.119
241.1733097,"65,659.587",7,2,40337,980983.211
252.8095288,"68,827.555",6,2,45936,1518169.444
261.3501925,"71,152.756",3,3,40951,1002840.229
297.2982386,"80,939.635",6,3,27772,1499920.594
245.5847041,"66,860.592",8,5,36036,1496577.459
236.2327123,"64,314.506",8,6,37218,1526915.349
234.5893677,"63,867.105",6,4,14523,917610.8884
298.3283041,"81,220.071",6,2,32860,1572990.374
223.6196203,"60,880.584",6,3,42878,959416.4367
244.4563586,"66,553.399",6,2,23632,960083.9969
267.754188,"72,896.248",6,3,40427,1526025.659
217.3001106,"59,160.093",6,3,23253,1006885.844
243.9400238,"66,412.827",5,3,50997,1105105.053
246.1938802,"67,026.440",6,2,27678,625880.7321
283.3856085,"77,151.912",8,4,27118,1799827.22
256.3782879,"69,799.152",6,4,38341,1152798.579
204.8435688,"55,768.792",5,4,47990,846095.9673
300.088102,"81,699.177",6,3,19502,1387864.89
210.7169802,"57,367.832",6,4,47734,1414286.722
295.6422452,"80,488.789",5,2,36743,1273308.71
250.1047588,"68,091.180",5,3,44557,1489648.018
303.3513075,"82,587.586",6,3,55932,1765988.264
210.8635051,"57,407.723",7,2,27118,934111.6355
236.2986826,"64,332.467",4,5,30813,1095879.443
242.5696387,"66,039.738",5,6,15613,876348.8176
229.18984,"62,397.080",6,3,40740,854945.5067
311.5176122,"84,810.868",6,2,28392,1349743.146
246.2850086,"67,051.250",4,3,39736,970825.5964
308.1989912,"83,907.371",6,3,46092,1796009.504
229.0015682,"62,345.823",5,4,41983,934492.3424
223.9130252,"60,960.464",4,3,28172,584061.2474
251.0691131,"68,353.726",5,5,27805,895845.5655
215.468943,"58,661.557",7,4,17468,696040.1299
242.9048585,"66,131.002",6,2,40980,1204137.323
247.3868901,"67,351.238",6,4,47176,1413729.757
220.1395701,"59,933.138",5,3,28593,607873.7728
223.4723556,"60,840.491",5,2,36241,971099.4754
347.8857466,"94,712.116",5,2,49412,1714055.837
273.5318258,"74,469.214",7,3,46500,1956438.651
289.2679747,"78,753.390",6,3,50350,2013015.746
294.7035476,"80,233.228",5,5,26263,1390497.566
310.2775978,"84,473.273",5,4,31608,1529452.062
286.6829101,"78,049.605",4,4,42857,1143215.029
342.252595,"93,178.487",6,6,42809,1949577.954
256.9299931,"69,949.354",5,4,37358,1057799.242
315.5304872,"85,903.376",6,2,25593,1585873.833
239.7924127,"65,283.637",6,4,37825,1168993.759
290.8783566,"79,191.818",7,4,35107,1431915.977
265.3532704,"72,242.597",5,6,43988,1409439.076
231.8663283,"63,125.755",7,3,51219,1496724.381
288.6357329,"78,581.262",6,4,50891,1566567.883
218.4817008,"59,481.782",5,4,31201,986113.2395
245.2527604,"66,770.220",5,4,33238,885611.5783
276.835308,"75,368.589",6,3,32075,1102259.539
221.9274549,"60,419.891",7,2,38273,1268125.838
288.5397464,"78,555.130",8,4,34514,1580691.617
301.4631032,"82,073.522",5,4,36337,1128644.462
236.0110675,"64,254.163",5,4,58051,1524689.063
196.2624857,"53,432.587",7,5,36805,1176420.559
249.3405696,"67,883.129",7,5,34639,1456273.724
337.3104688,"91,832.990",6,4,31105,1777516.449
259.5802159,"70,670.879",7,3,23592,1237902.82
258.2746188,"70,315.429",6,4,49698,1385783.517
177.6413919,"48,362.982",6,4,49354,1035125.857
271.889684,"74,022.139",7,4,30053,1358899.686
239.4217092,"65,182.713",5,6,48109,1311145.968
198.5254904,"54,048.691",4,5,42178,919926.9985
265.5051594,"72,283.949",5,4,40277,985866.0316
302.9415472,"82,476.029",5,3,30985,1196204.886
293.0087937,"79,771.830",6,5,30612,1435981.22
210.2333633,"57,236.167",4,3,24726,752800.1475
161.4407108,"43,952.336",5,4,25139,324981.993
208.3427821,"56,721.455",7,3,22904,1127637.557
208.0985492,"56,654.962",5,3,25802,239319.9342
147.6056566,"40,185.734",6,4,37767,529282.0844
261.6243247,"71,227.389",7,4,20096,1455691.797
192.6344952,"52,444.864",8,4,39288,1371527.327
208.725857,"56,825.747",7,6,43475,1231452.189
204.3040189,"55,621.899",4,2,63185,1102641.114
244.2969841,"66,510.009",5,2,29294,758262.6121
230.0790209,"62,639.160",6,2,27813,476971.4559
291.837052,"79,452.823",6,4,44852,1706689.94
305.3707967,"83,137.394",5,2,30483,1079745.119
253.9699144,"69,143.471",5,4,24405,766594.3397
250.789764,"68,277.673",6,3,38100,905045.2177
265.3842745,"72,251.038",7,4,34879,1425114.718
262.1627632,"71,373.979",5,5,51510,1512542.441
299.3692695,"81,503.474",7,3,46674,1650342.131
222.4758803,"60,569.200",8,3,16351,1112548.479
266.972856,"72,683.530",6,3,18539,942508.9622
270.939922,"73,763.566",6,4,38551,1642844.649
278.3487385,"75,780.621",5,4,34945,1078713.227
286.0705052,"77,882.877",6,6,27529,1333865.438
259.3506237,"70,608.372",4,3,24388,684049.9193
248.9723148,"67,782.871",6,6,46608,1311067.446
211.9912495,"57,714.753",5,5,53101,1172133.487
325.4863649,"88,613.870",3,5,42905,1419536.259
270.1901072,"73,559.429",6,4,34375,1288426.694
300.368909,"81,775.627",6,6,30071,1500939.827
155.9669435,"42,462.100",6,4,42192,1000087.121
264.8179381,"72,096.852",6,3,31584,1457767.533
161.3292833,"43,922.000",6,5,42251,747933.4869
235.4997558,"64,114.958",7,3,25273,1024738.285
284.9354985,"77,573.871",5,3,39055,1517666.855
257.2513054,"70,036.832",6,2,25064,953840.6976
261.4639897,"71,183.738",5,4,46955,1375497.973
247.2559709,"67,315.595",7,4,37811,1645530.056
267.4513556,"72,813.802",9,3,35015,1727006.951
268.220955,"73,023.326",6,5,40513,1597330.411
248.1899694,"67,569.877",7,4,49055,1688279.308
257.016304,"69,972.852",6,4,37815,1398310.2
268.9839504,"73,231.052",5,3,40788,1100093.909
295.9689345,"80,577.731",6,5,36463,1505560.54
237.8490878,"64,754.565",8,2,27143,1105990.694
203.6198871,"55,435.644",5,5,23503,789043.8512
240.6262882,"65,510.660",4,2,45112,756319.734
304.3369932,"82,855.940",7,5,36954,1856782.783
328.1478223,"89,338.453",4,3,41265,1222020.821
168.9256796,"45,990.124",7,3,41554,1043968.399
282.0985026,"76,801.497",6,5,48482,1673294.246
226.2875217,"61,606.922",7,2,40496,1325860.533
240.3238157,"65,428.312",7,5,33141,1236044.316
208.2551062,"56,697.585",6,2,37973,1030759.7
338.4809964,"92,151.667",6,2,37068,1609581.804
288.5426972,"78,555.933",6,3,29759,1292287.095
265.2120754,"72,204.156",5,5,28943,1057697.703
190.0523419,"51,741.871",8,2,32731,768152.791
261.0907133,"71,082.113",8,4,31328,1513427.551
261.9964657,"71,328.704",7,4,28053,1429497.617
246.6479478,"67,150.061",6,3,39918,1376969.929
219.5674307,"59,777.373",5,2,37837,614700.7371
230.3957906,"62,725.401",6,5,19751,780608.9935
240.7098689,"65,533.415",6,4,25002,856548.9441
287.5795064,"78,293.704",6,2,47126,1656080.089
273.1723163,"74,371.337",7,4,33187,1249914.079
208.1332305,"56,664.404",7,2,28364,817460.4216
220.6015274,"60,058.906",6,4,33582,990893.1601
234.1851332,"63,757.051",6,4,27244,972079.5876
297.617695,"81,026.607",6,4,24407,1349989.647
307.37618,"83,683.361",6,3,38400,1303542.283
206.0745121,"56,103.917",5,3,41331,593766.1848
247.7651258,"67,454.213",5,4,49237,1243918.811
248.415343,"67,631.235",8,2,24625,1395855.656
194.6295897,"52,988.030",7,3,37791,1112314.303
218.7319551,"59,549.914",7,2,14906,850010.1816
216.0968469,"58,832.504",6,5,30200,931787.6179
281.7895026,"76,717.371",5,4,34944,1011140.799
269.688377,"73,422.832",5,3,50998,1190442.123
217.1833999,"59,128.319",6,2,45592,916140.2212
241.0087477,"65,614.785",5,7,39354,1222045.091
252.8971208,"68,851.402",7,2,22122,1232156.012
159.896253,"43,531.857",6,2,37389,652752.9727
197.478062,"53,763.528",7,5,32307,1219846.919
253.253426,"68,948.406",8,5,40079,2050988.497
260.0372211,"70,795.299",6,3,29887,1359052.846
266.0919209,"72,443.695",5,6,31191,1308773.078
304.0641172,"82,781.649",6,4,39588,1573998.902
247.6712067,"67,428.644",5,6,40897,1182980.604
241.8407895,"65,841.309",6,2,48253,1029861.623
265.4080468,"72,257.510",5,4,33543,1085943.076
272.7036671,"74,243.747",6,4,40328,1713351.394
263.5754636,"71,758.588",6,2,42115,1297619.348
247.9741766,"67,511.127",7,3,23163,1096052.868
261.8947309,"71,301.007",7,4,44870,1920527.53
204.9011754,"55,784.475",8,2,29304,1035171.06
245.5116222,"66,840.695",7,6,32706,1218011.061
213.3991335,"58,098.050",7,3,43299,1106705.011
243.3498255,"66,252.145",5,3,33656,664978.8738
268.9661319,"73,226.201",7,4,30464,1316129.309
257.6247885,"70,138.513",6,4,33434,1398760.047
238.9037258,"65,041.691",6,4,14487,759799.8758
250.3835466,"68,167.080",6,2,13978,776906.3269
225.1629395,"61,300.754",6,4,29409,971928.9869
239.3953937,"65,175.548",7,3,29829,1180091.498
290.311614,"79,037.522",6,2,30038,1201785.667
279.1023955,"75,985.805",6,5,50003,1591234.773
132.0964069,"35,963.331",3,3,24436,143027.3645
239.007345,"65,069.902",6,3,36778,1091143.399
223.0011234,"60,712.198",6,3,47783,1249173.691
284.503253,"77,456.192",7,3,45582,2002028.632
225.418476,"61,370.323",7,4,20601,824540.8964
293.3447175,"79,863.286",7,3,35048,1511526.921
212.9690311,"57,980.954",6,6,25054,994257.5352
233.610793,"63,600.687",7,2,53539,1345296.554
228.1483083,"62,113.522",5,6,29401,1166399.672
304.1715383,"82,810.895",7,4,39780,1820981.219
254.8417839,"69,380.838",6,4,25328,1023965.403
255.764473,"69,632.040",5,2,34642,889385.9016
221.7721434,"60,377.607",4,4,29114,616738.2083
301.573214,"82,103.499",7,6,49015,1784260.849
183.1262223,"49,856.231",7,5,51529,1050541.314
251.191268,"68,386.983",7,2,37895,1389223.607
287.5620741,"78,288.958",6,5,29197,1423908.258
223.1857619,"60,762.466",5,3,46303,1069238.5
216.393629,"58,913.303",5,3,45564,1007856.266
240.8811855,"65,580.056",5,3,48220,924346.1648
282.9062866,"77,021.417",6,3,27855,1453312.468
287.5165823,"78,276.572",4,4,21372,782656.0804
